,Brazil,Canada,Chile,"China, P.R.: Mainland",France,Germany,India,Indonesia,"Iran, Islamic Republic of",Italy,Japan,"Korea, Republic of",Mexico,Philippines,South Africa,Turkey,United Kingdom,United States
Jan 1980,0.00,35.92,,,36.50,,9.59,5.14,0.49,20.34,74.20,21.06,0.07,6.99,5.65,0.00,,35.70
Feb 1980,0.00,36.22,,,36.88,,9.53,5.22,0.51,20.73,74.80,21.98,0.07,7.07,5.71,0.00,,36.19
Mar 1980,0.00,36.62,,,37.31,,9.64,5.23,0.52,20.90,75.20,22.84,0.07,7.18,5.76,0.00,,36.71
Apr 1980,0.00,36.83,,,37.77,,9.69,5.28,0.54,21.23,76.60,23.03,0.07,7.25,5.82,0.00,,37.13
May 1980,0.00,37.26,,,38.08,,9.87,5.48,0.54,21.46,77.20,23.81,0.08,7.34,5.88,0.00,,37.50
Jun 1980,0.00,37.68,,,38.36,,9.97,5.56,0.56,21.68,77.50,24.10,0.08,7.40,5.99,0.00,,37.91
Jul 1980,0.00,37.96,,,38.90,,10.18,5.63,0.55,22.07,77.60,24.27,0.08,7.49,6.10,0.00,,37.94
Aug 1980,0.00,38.32,,,39.29,,10.26,5.69,0.55,22.30,77.40,24.79,0.08,7.59,6.10,0.00,,38.18
Sep 1980,0.00,38.66,,,39.60,,10.39,5.71,0.56,22.75,78.70,25.32,0.08,7.68,6.27,0.00,,38.54
Oct 1980,0.00,39.00,,,40.02,,10.49,5.81,0.57,23.14,78.90,26.00,0.08,7.76,6.38,0.00,,38.87
Nov 1980,0.00,39.49,,,40.33,,10.62,5.94,0.58,23.64,79.10,26.51,0.08,7.85,6.43,0.00,,39.23
Dec 1980,0.00,39.72,,,40.72,,10.54,5.95,0.59,23.92,78.80,27.41,0.09,7.94,6.55,0.00,,39.56
Jan 1981,0.00,40.26,,,41.18,,10.62,6.03,0.61,24.37,79.60,27.37,0.09,8.12,6.55,0.00,,39.88
Feb 1981,0.00,40.65,,,41.57,,10.80,6.07,0.63,24.82,79.50,27.59,0.09,8.19,6.66,0.00,,40.30
Mar 1981,0.00,41.16,,,41.96,,10.85,6.12,0.66,25.21,79.80,28.12,0.09,8.21,6.66,0.00,,40.59
Apr 1981,0.00,41.50,,,42.54,,11.03,6.17,0.69,25.55,80.40,28.36,0.10,8.25,6.71,0.00,,40.85
May 1981,0.00,41.83,,,42.93,,11.19,6.18,0.70,25.94,81.10,28.99,0.10,8.30,6.77,0.00,,41.18
Jun 1981,0.00,42.51,,,43.35,,11.34,6.21,0.71,26.22,81.30,29.79,0.10,8.37,6.83,0.00,,41.54
Jul 1981,0.00,42.85,,,44.09,,11.55,6.28,0.68,26.39,81.00,30.08,0.10,8.52,6.99,0.00,,42.01
Aug 1981,0.00,43.19,,,44.63,,11.73,6.32,0.68,26.61,80.60,30.40,0.10,8.56,7.11,0.00,,42.33
Sep 1981,0.00,43.52,,,45.14,,11.78,6.30,0.68,27.00,81.90,30.79,0.10,8.60,7.27,0.00,,42.76
Oct 1981,0.00,43.92,,,45.72,,11.89,6.38,0.69,27.45,82.10,30.71,0.11,8.64,7.33,0.00,,42.85
Nov 1981,0.00,44.31,,,46.10,,11.94,6.36,0.70,27.96,82.10,30.45,0.11,8.71,7.39,0.00,,42.98
Dec 1981,0.00,44.54,,,46.38,,11.89,6.39,0.71,28.24,82.10,30.62,0.11,8.79,7.44,0.00,,43.10
Jan 1982,0.00,44.82,,,46.88,,11.86,6.69,0.74,28.68,82.10,30.76,0.12,8.98,7.44,0.00,,43.25
Feb 1982,0.00,45.38,,,47.34,,11.83,6.73,0.76,29.08,82.10,30.91,0.12,9.05,7.55,0.00,,43.39
Mar 1982,0.00,45.94,,,47.92,,11.81,6.74,0.79,29.30,82.10,31.20,0.13,9.09,7.72,0.00,,43.34
Apr 1982,0.00,46.17,,,48.47,,11.86,6.73,0.80,29.58,82.80,31.25,0.13,9.15,7.83,0.00,,43.53
May 1982,0.00,46.85,,,48.85,,11.94,6.75,0.80,29.92,83.10,31.49,0.14,9.18,7.89,0.00,,43.96
Jun 1982,0.00,47.30,,,49.20,,12.14,6.77,0.81,30.20,83.10,31.69,0.15,9.23,7.95,0.00,,44.49
Jul 1982,0.00,47.52,,,49.36,,12.35,6.84,0.79,30.59,82.60,31.76,0.15,9.40,8.00,0.00,,44.74
Aug 1982,0.00,47.75,,,49.51,,12.61,6.81,0.79,31.15,83.20,31.86,0.17,9.46,8.11,0.00,,44.83
