,Australia,Austria,Belgium,Canada,Denmark,Finland,France,Germany,Greece,Ireland,Italy,Japan,Netherlands,New Zealand,Norway,Portugal,Spain,Sweden,Switzerland,United Kingdom
Jan 1980,90.37,97.75,114.89,91.87,92.97,110.33,116.42,118.51,82.74,88.14,94.25,68.73,107.79,84.89,90.97,72.49,95.84,143.65,88.22,107.42
Feb 1980,90.18,97.35,114.02,92.55,92.19,111.03,115.68,118.02,83.09,88.14,95.23,67.28,107.35,85.05,92.51,75.72,96.05,144.02,85.65,110.06
Mar 1980,91.21,96.58,112.58,92.33,91.10,111.58,115.11,115.91,82.23,88.10,93.66,67.38,106.24,85.44,93.20,77.53,96.30,144.23,82.86,110.47
Apr 1980,91.77,96.31,112.52,91.31,90.71,114.05,115.51,114.47,83.03,89.07,93.36,67.10,105.59,85.47,93.63,76.73,93.54,144.20,83.36,112.84
May 1980,91.62,96.49,112.83,90.23,90.62,113.82,115.56,114.76,78.43,91.29,94.10,71.94,105.52,84.89,93.36,75.71,91.17,143.55,84.33,113.13
Jun 1980,91.71,96.93,112.52,91.03,90.86,112.95,115.98,113.99,78.85,91.90,94.26,74.68,105.34,84.53,93.25,75.26,91.69,143.12,84.10,113.67
Jul 1980,92.04,97.21,112.81,91.44,92.47,113.21,117.32,113.51,78.55,92.69,95.18,73.32,105.95,84.52,93.50,75.56,90.37,143.63,84.52,114.98
Aug 1980,92.83,97.15,111.82,91.85,91.59,114.63,117.03,112.16,81.09,92.32,95.66,72.49,105.68,84.92,94.49,75.39,90.19,143.75,83.47,116.53
Sep 1980,92.56,96.51,110.87,90.92,90.72,114.67,116.69,110.86,80.88,91.49,95.86,75.33,105.33,84.94,94.49,74.58,89.20,146.88,83.28,117.89
Oct 1980,92.76,95.56,109.99,90.73,89.88,115.20,116.19,108.59,82.08,89.77,95.42,77.52,103.86,85.40,94.79,74.71,89.14,147.88,83.20,120.36
Nov 1980,93.42,94.32,108.66,90.56,88.67,115.87,114.51,106.94,82.14,86.91,95.30,77.16,102.39,86.13,95.32,75.29,89.69,148.10,82.43,123.10
Dec 1980,94.16,93.87,107.89,90.17,88.61,115.88,114.18,105.95,84.11,86.97,95.35,78.49,101.34,85.85,94.48,75.94,88.29,147.65,81.25,122.24
Jan 1981,94.65,93.30,106.33,90.91,87.42,115.83,113.38,104.46,80.68,86.24,94.88,81.95,100.28,86.18,94.12,76.42,87.14,146.36,80.28,126.53
Feb 1981,95.75,92.41,104.98,91.96,85.76,115.68,111.57,102.56,83.25,85.57,93.99,81.91,98.22,86.77,95.25,77.24,85.83,149.36,79.20,126.47
Mar 1981,96.33,93.38,104.92,93.03,86.19,115.85,111.32,104.46,83.13,86.75,93.80,80.39,97.87,86.15,96.01,76.97,87.01,149.41,79.78,123.33
Apr 1981,97.27,93.39,104.45,94.32,86.37,116.21,111.35,104.14,81.66,86.66,92.31,78.48,97.47,86.44,96.82,78.00,87.14,149.85,79.06,123.81
May 1981,98.84,92.54,103.18,95.06,85.63,116.67,108.65,102.43,81.92,85.39,92.19,78.21,96.14,87.19,97.71,79.05,87.30,150.39,79.39,123.90
Jun 1981,100.50,92.02,102.50,96.50,85.70,117.05,109.06,101.11,82.48,85.75,92.24,77.88,95.42,86.98,96.86,79.00,86.22,150.43,81.57,120.01
Jul 1981,102.69,92.04,102.59,97.15,85.66,117.38,109.90,100.69,82.73,87.17,92.06,75.50,95.11,87.03,96.59,80.79,86.19,150.63,82.55,116.18
Aug 1981,103.86,92.08,102.35,97.16,85.05,117.58,109.40,100.09,86.14,87.77,92.15,75.49,94.65,87.18,97.20,81.55,86.13,150.18,82.05,115.14
Sep 1981,103.46,93.03,103.93,97.84,87.60,118.26,112.21,102.30,87.57,92.43,93.02,75.11,96.62,86.27,98.31,81.20,86.84,141.57,83.87,110.60
Oct 1981,103.30,95.01,104.05,97.81,88.17,119.38,110.71,105.18,87.43,94.32,91.41,73.63,99.46,85.85,98.11,81.62,86.27,135.13,87.78,110.85
Nov 1981,102.50,93.97,103.52,98.50,87.78,119.16,109.81,104.62,88.99,95.46,91.20,75.52,99.96,85.73,98.59,81.90,85.96,134.22,91.26,113.32
Dec 1981,101.59,93.48,102.56,99.06,87.01,119.43,109.03,103.62,87.65,94.94,91.40,77.43,99.44,86.19,99.82,82.07,85.71,133.01,90.37,114.86
Jan 1982,101.32,93.47,101.85,99.52,86.51,121.20,108.85,103.29,86.49,93.91,91.87,75.52,99.40,86.33,101.26,81.73,86.01,133.01,90.06,115.54
Feb 1982,101.18,93.18,99.32,99.94,85.53,121.52,109.03,102.62,86.48,92.36,92.15,73.25,99.09,87.14,102.36,83.35,86.93,134.32,90.12,115.85
